timestamp,event_type,seq_no,attempt_no,rtt_seconds
1780661963.7676613,SEND,390,2,
1780661963.7699041,ACK,390,2,0.0022428035736083984
1780661963.7730765,SEND,391,1,
1780661963.7738101,ACK,391,1,0.0007336139678955078
1780661963.7745469,SEND,392,1,
1780661963.7754233,ACK,392,1,0.0008764266967773438
1780661963.7762403,SEND,393,1,
1780661963.7772179,ACK,393,1,0.0009775161743164062
1780661963.7781036,SEND,394,1,
1780661963.7850935,ACK,394,1,0.006989955902099609
1780661963.787166,SEND,395,1,
1780661963.7889435,ACK,395,1,0.0017774105072021484
1780661963.789624,SEND,396,1,
1780661963.790465,ACK,396,1,0.0008411407470703125
1780661963.7909164,SEND,397,1,
1780661963.791583,ACK,397,1,0.0006666183471679688
1780661963.7921336,SEND,398,1,
1780661963.7930274,ACK,398,1,0.0008938312530517578
1780661963.794028,SEND,399,1,
1780661963.8016238,ACK,399,1,0.00759577751159668
1780661963.8023486,SEND,400,1,
1780661963.808347,ACK,400,1,0.005998373031616211
1780661963.8112488,SEND,401,1,
1780661963.8150158,ACK,401,1,0.0037670135498046875
1780661963.815527,SEND,402,1,
1780661963.8164673,ACK,402,1,0.0009403228759765625
1780661963.8172336,SEND,403,1,
1780661963.8219514,ACK,403,1,0.004717826843261719
1780661963.8227365,SEND,404,1,
1780661963.8265939,ACK,404,1,0.0038573741912841797
1780661963.8295758,SEND,405,1,
1780661963.8303375,ACK,405,1,0.0007617473602294922
1780661963.83088,SEND,406,1,
1780661963.831756,ACK,406,1,0.0008761882781982422
1780661963.832354,SEND,407,1,
1780661963.8334527,ACK,407,1,0.0010986328125
1780661963.834444,SEND,408,1,
1780661963.8387563,ACK,408,1,0.004312276840209961
1780661963.8396223,SEND,409,1,
1780661963.8406725,ACK,409,1,0.0010502338409423828
1780661963.841745,SEND,410,1,
1780661963.842338,ACK,410,1,0.0005931854248046875
1780661963.8427844,SEND,411,1,
1780661963.8433444,ACK,411,1,0.0005600452423095703
1780661963.84376,SEND,412,1,
1780661963.8442924,ACK,412,1,0.0005323886871337891
1780661963.8446388,SEND,413,1,
1780661963.8451514,ACK,413,1,0.0005125999450683594
1780661963.8455448,SEND,414,1,
1780661963.8460257,ACK,414,1,0.00048089027404785156
1780661963.8461554,SEND,415,1,
1780661963.8469837,ACK,415,1,0.0008282661437988281
